Eruption Number,Volcano Name,Eruption Category,Evidence Type,Evidence Method,VEI,Start Year,Start Month,Start Day,End Year,End Month,End Day
14157,"Arhab, Harra of",Confirmed,Observations,Reported,0,500,,,,,
19551,Sheveluch,Confirmed,Isotopic,14C (calibrated),4,500,,,,,
17590,Miyakejima,Confirmed,Isotopic,14C (calibrated),3,500,,,,,
20607,Newberry,Confirmed,Isotopic,14C (calibrated),4,490,,,,,
20588,Belknap,Confirmed,Isotopic,14C (calibrated),2,480,,,,,
10160,Mauna Loa,Confirmed,Isotopic,14C (uncalibrated),0,480,,,,,
14841,Taveuni,Confirmed,Isotopic,14C (calibrated),2,480,,,,,
13308,Vesuvius,Confirmed,Observations,Reported,5,472,11,5,472,11,6
17428,Fujisan,Confirmed,Isotopic,14C (uncalibrated),3,470,,,,,
14213,"Fournaise, Piton de la",Confirmed,Isotopic,14C (uncalibrated),0,455,,,,,
10159,Mauna Loa,Confirmed,Isotopic,14C (uncalibrated),0,450,,,,,
19875,Kilauea,Confirmed,Correlation,Magnetism,0,450,,,,,
17813,Harunasan,Confirmed,Correlation,Tephrochronology,3,450,,,,,
18133,Hakkodasan,Confirmed,Isotopic,14C (calibrated),1,450,,,,,
19284,Tolbachik,Confirmed,Correlation,Tephrochronology,3,450,,,,,
19252,Komarov,Confirmed,Isotopic,14C (uncalibrated),0,450,,,,,
10830,Ilopango,Confirmed,Isotopic,14C (calibrated),6,450,,,,,
12417,Pelee,Confirmed,Isotopic,14C (uncalibrated),4,450,,,,,
20592,Three Sisters,Confirmed,Isotopic,14C (calibrated),2,440,,,,,
17195,Asosan,Confirmed,Isotopic,14C (calibrated),3,440,,,,,
22183,Tutuila,Confirmed,Isotopic,14C (calibrated),3,440,,,,,
11197,Irazu,Confirmed,Isotopic,14C (calibrated),3,430,,,,,
12222,Osorno,Confirmed,Isotopic,14C (uncalibrated),4,420,,,,,
15828,Merapi,Confirmed,Isotopic,14C (calibrated),3,410,,,,,
20930,Axial Seamount,Confirmed,Isotopic,14C (calibrated),0,410,,,,,
10495,Chichinautzin,Confirmed,Isotopic,14C (calibrated),3,400,,,,,
10735,Pacaya,Confirmed,Isotopic,14C (uncalibrated),2,400,,,,,
19283,Tolbachik,Confirmed,Correlation,Tephrochronology,4,400,,,,,
17427,Fujisan,Confirmed,Correlation,Tephrochronology,2,400,,,,,
14840,Taveuni,Confirmed,Isotopic,14C (calibrated),2,400,,,,,
14689,Raoul Island,Confirmed,Correlation,Tephrochronology,4,400,,,,,
11122,Arenal,Confirmed,Correlation,Anthropology,4,400,,,,,
16987,Kikai,Confirmed,Isotopic,14C (uncalibrated),3,390,,,,,
19107,Veer,Confirmed,Correlation,Tephrochronology,2,390,,,,,
19550,Sheveluch,Confirmed,Isotopic,14C (calibrated),3,380,,,,,
13012,Sete Cidades,Confirmed,Correlation,Tephrochronology,4,380,,,,,
10055,Vesuvius,Confirmed,Observations,Reported,2,379,,,395,,
22302,Ascension,Confirmed,Isotopic,Ar/Ar,0,378,,,,,
11699,"Negra, Sierra",Confirmed,Isotopic,Cosmic Ray Exposure,0,370,,,,,
17361,Kujusan,Confirmed,Isotopic,14C (calibrated),3,370,,,,,
17676,Asamayama,Confirmed,Correlation,Anthropology,4,350,11,15,,,
17425,Fujisan,Confirmed,Isotopic,14C (uncalibrated),3,350,,,,,
18937,Ksudach,Confirmed,Isotopic,14C (calibrated),2,350,,,,,
18713,Mashu,Confirmed,Isotopic,14C (calibrated),2,350,,,,,
10158,Mauna Loa,Confirmed,Isotopic,14C (uncalibrated),0,350,,,,,
14839,Taveuni,Confirmed,Correlation,Tephrochronology,2,350,,,,,
